,Manufacturer,Model,Project Count,Usage Count,Min Unit Cost,Max Unit Cost,Average Unit Cost,Min Unit Price,Max Unit Price,Average Unit Price,Min Unit Labor Hours,Max Unit Labor Hours,Average Unit Labor Hours
Speaker,SONANCE,MEDIUM ROUND ACOUSTIC ENCLOSURE,6,42,90,90,90,138.46,180,174.07,0.25,0.5,0.45
Speaker,SONANCE,MEDIUM ROUND COVERPLATE,1,4,8.63,8.63,8.63,17.25,17.25,17.25,0.17,0.17,0.17
Speaker,SONANCE,MEDIUM ROUND FLEXBRACKET,150,2218,6.65,6.65,6.65,8.31,44,21.92,0,1,0.4
Speaker,SONANCE,MEDIUM ROUND RETROFIT ENCLOSURE,51,495,11,11,11,15.71,73,22.14,0,0.25,0.18
Speaker,SONANCE,PS-C63/P63 BLACK,3,32,10,10,10,20,20,20,0.25,0.25,0.25
Speaker,SONANCE,PS-C63RT,3,28,110,110,110,169.23,180,178.46,0.5,0.5,0.5
Speaker,SONANCE,PS-C63RTLP,1,4,170,170,170,280,280,280,0.5,0.5,0.5
Speaker,SONANCE,PS-C6R,2,20,11.5,11.5,11.5,19,19.17,19.14,0.25,0.25,0.25
Speaker,SONANCE,PS-C83/P83 BLACK,3,41,10,10,10,20,20,20,0.13,0.25,0.15
Speaker,SONANCE,PS-C83RT,3,41,170,170,170,280,280,280,0.5,1,0.61
Speaker,SONANCE,PS-C8R,3,13,16,16,16,26,27,26.69,0.25,0.25,0.25
Speaker,SONANCE,PS-P83T,1,12,207.5,207.5,207.5,319.23,319.23,319.23,0.5,0.5,0.5
Speaker,SONANCE,PS-P83WT,1,6,125,125,125,192.31,192.31,192.31,0.5,0.5,0.5
Speaker,SONANCE,PS-S63T-B,1,4,132.5,132.5,132.5,220,220,220,0.25,0.25,0.25
Speaker,SONANCE,PS-S83T (BLACK),4,11,192.5,192.5,192.5,320,320,320,0.5,0.5,0.5
Speaker,SONANCE,R1,3,5,500,500,500,1250,1250,1250,0.5,0.5,0.5
Speaker,SONANCE,R1/R1SUR FLEX BRACKET,4,9,25,25,25,50,50,50,0.25,0.25,0.25
Equipment,SONANCE,R10SUB,1,2,500,500,500,1000,1000,1000,0.5,0.5,0.5
Equipment,SONANCE,R10SUB ENC,1,2,450,450,450,900,900,900,0.25,0.25,0.25
Equipment,SONANCE,R12SUB,1,1,600,600,600,1200,1200,1200,0.5,0.5,0.5
Equipment,SONANCE,R12SUB ENC,1,1,600,600,600,1200,1200,1200,0.25,0.25,0.25
Speaker,SONANCE,R1C,1,3,500,500,500,1250,1250,1250,0.5,0.5,0.5
Speaker,SONANCE,R1C/R1CSUR FLEX BRACKET,1,2,25,25,25,50,50,50,0.25,0.25,0.25
Speaker,SONANCE,R1CSUR,1,2,500,500,500,1250,1250,1250,0.5,0.5,0.5
Speaker,SONANCE,R1SUR,1,4,500,500,500,1250,1250,1250,0.5,0.5,0.5
Speaker,SONANCE,R2,3,7,1000,1000,1000,2500,2500,2500,0.5,0.5,0.5
Speaker,SONANCE,R2/R2SUR FLEX BRACKET,3,11,40,40,40,80,80,80,0.25,0.25,0.25
Speaker,SONANCE,R2SUR,1,4,1000,1000,1000,2500,2500,2500,0.5,0.5,0.5
Equipment,SONANCE,RACK MOUNT EAR KIT 2,1,1,30,30,30,60,60,60,0,0,0
Speaker,SONANCE,ROUND SURFACE MOUNT,5,22,15,15,15,30,30,30,0.5,1,0.95
Speaker,SONANCE,SB46-55,2,2,800,800,800,1750,1750,1750,0.5,0.5,0.5
Speaker,SONANCE,SB46-65,3,5,800,800,800,1454.55,1750,1690.91,0.5,0.5,0.5
Speaker,SONANCE,SB46-85,1,1,900,900,900,2000,2000,2000,0.5,0.5,0.5
Speaker,SONANCE,SB46L,1,1,900,900,900,2000,2000,2000,1,1,1
Speaker,SONANCE,SB46M,1,1,800,800,800,1750,1750,1750,1,1,1
Speaker,SONANCE,SGS 8.1 SYSTEM,5,5,1750,1750,1750,2651.52,3500,3262.2,0,8,6.4
Speaker,SONANCE,SMALL ROUND FLEX BRACKET,2,14,6.5,6.5,6.5,13,13,13,0.08,0.08,0.08
Speaker,SONANCE,SONARRAY SR1 SUB,2,3,300,300,300,600,600,600,0.5,1,0.83
Equipment,SONANCE,SR 2-125,1,2,400,400,400,800,800,800,1,1,1
Speaker,SONANCE,VP38R,1,12,155,155,155,450,450,450,0.5,0.5,0.5
Speaker,SONANCE,VP3SQ,1,14,15,15,15,30,30,30,0.1,0.1,0.1
Speaker,SONANCE,VP42R,4,8,70,70,70,175,175,175,0.5,0.5,0.5
Speaker,SONANCE,VP46R,4,18,92.5,92.5,92.5,175,262.5,252.78,0.5,0.5,0.5
Equipment,SONANCE,VP46R SST/SUR,1,4,135,135,135,262.5,380,321.25,0,0.5,0.25
Speaker,SONANCE,VP60R,11,96,65,65,65,81.25,162.5,146.24,0.5,0.5,0.5
Speaker,SONANCE,VP62,7,80,80,80,80,200,200,200,0.5,0.5,0.5
Speaker,SONANCE,VP62R,49,448,80,80,80,100,533,191.01,0.25,0.75,0.5
Speaker,SONANCE,VP62R SST/SUR,6,10,65,130,97.5,162.5,325,243.75,0,1,0.48
Equipment,SONANCE,VP62R TL,3,15,80,80,80,200,200,200,0.5,0.5,0.5
Speaker,SONANCE,VP64R,14,160,100,100,100,250,250,250,0.5,0.5,0.5
Equipment,SONANCE,VP65 XT,4,13,162.5,162.5,162.5,465,465,465,0,1.5,0.77
